pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2026-04-03,81.6,-3.67,4.62,"Sewald, Paul",642086,623149,,ball,,,,,13,Ball,R,L,R,AZ,ATL,B,,,1,2,2026,1.42,0.33,-1.297890470643993,2.0903206795656653,,,,1,9,Top,,,,,,,2.4686505407544943,-118.89269240458304,0.4348075665462505,13.029479724671695,22.928950805698268,-29.357592865336223,3.176123688,1.602903543,,,,81.6,2535,6.2,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.28,,,,,,,,61,5,Sweeper,0,2,2,0,2,0,2,0,Infield shade,Standard,78,-0.001,0.048,,,,-0.048,,-2,2,0.086,0.914,36,31,36,31,1,0,,,,,3.09,-1.42,1.42,,,,,,
ST,2026-04-03,82.6,-3.69,4.53,"Sewald, Paul",642086,623149,,foul,,,,,7,Foul,R,L,R,AZ,ATL,S,,,1,2,2026,1.4,0.52,-0.2785908555176015,1.8602382788151963,,,,1,9,Top,,,,,,,4.866152730652484,-120.16568040164124,-0.3767034112340506,12.493158312177902,24.71274296153276,-27.268996037394515,3.176123688,1.602903543,191,71.7,56,82.1,2615,6.1,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.42,,,,,,,,61,4,Sweeper,0,2,2,0,2,0,2,0,Infield shade,Standard,77,0.0,0.0,66.7,7.1,,0.0,88.0,-2,2,0.086,0.914,36,31,36,31,1,0,,,,,2.83,-1.4,1.4,,5.429976802382806,9.650586578649104,34.86114672224213,40.09914176710418,26.30664689467081
ST,2026-04-03,81.4,-3.69,4.62,"Sewald, Paul",642086,623149,,ball,,,,,11,Ball,R,L,R,AZ,ATL,B,,,0,2,2026,1.41,0.37,-1.9120454062625416,2.472924713335754,,,,1,9,Top,,,,,,,1.1911785922719154,-118.49892099060057,1.2756361193700143,12.9464934388536,23.883751581623702,-29.221904522164685,3.176123688,1.602903543,,,,81.1,2445,6.2,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.34,,,,,,,,61,3,Sweeper,0,2,2,0,2,0,2,0,Infield shade,Standard,71,0.0,0.017,,,,-0.017,,-2,2,0.086,0.914,36,31,36,31,1,0,,,,,3.09,-1.41,1.41,,,,,,
ST,2026-04-03,82.2,-3.67,4.59,"Sewald, Paul",642086,623149,,foul,,,,,8,Foul,R,L,R,AZ,ATL,S,,,0,1,2026,1.18,0.36,0.2150771195855995,1.7622822024516478,,,,1,9,Top,,,,,,,6.350390160243198,-119.48166725365613,-0.2941647939087159,9.811811456309195,25.547906072952976,-28.941489517039344,3.176123688,1.602903543,157,65.0,51,81.7,2513,6.3,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.22,,,,,,,,61,2,Sweeper,0,2,2,0,2,0,2,0,Infield shade,Standard,78,0.001,-0.052,63.2,7.4,,0.052,88.0,-2,2,0.085,0.915,36,31,36,31,1,0,,,,,3.05,-1.18,1.18,,10.52230567145292,-13.734015873169373,36.083801861947535,35.42318011587251,40.33365006353255
ST,2026-04-03,82.2,-3.62,4.66,"Sewald, Paul",642086,623149,,called_strike,,,,,1,Called Strike,R,L,R,AZ,ATL,S,,,0,0,2026,0.93,0.41,-0.4935416496815851,2.802834957349156,,,,1,9,Top,,,,,,,5.147033889020671,-119.54671165045444,1.7650869012181256,7.789223897653352,25.577364544273507,-28.93719418762742,3.176123688,1.602903543,,,,81.8,2439,6.3,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.18,,,,,,,,61,1,Sweeper,0,2,2,0,2,0,2,0,Infield shade,Standard,63,0.001,-0.039,,,,0.039,,-2,2,0.084,0.916,36,31,36,31,1,0,,,,,3.0,-0.93,0.93,,,,,,
ST,2026-04-03,82.6,-3.65,4.53,"Sewald, Paul",663586,623149,field_out,hit_into_play,,,,,8,Austin Riley flies out to center fielder Alek Thomas.,R,R,R,AZ,ATL,X,8,fly_ball,0,2,2026,1.23,0.27,-0.1953695459284915,2.1280549203368726,,,,0,9,Top,135.59,49.79,,,,,5.3253424941892185,-120.10063089092732,0.7803209862744662,10.589000801369366,26.280736494810725,-29.987547874099903,3.273540026,1.652066929,369,94.3,31,82.0,2559,6.2,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.26,0.129,0.231,0.0,1,0,0,3,60,4,Sweeper,0,2,2,0,2,0,2,0,Standard,Standard,77,0.005,-0.165,80.3,7.8,0.421,0.165,94.3,-2,2,0.079,0.921,36,29,36,29,1,3,,,,,3.11,-1.23,-1.23,,7.041042118513754,-5.311086659188216,33.48067704051756,35.211138065245834,35.84740279520517
ST,2026-04-03,82.4,-3.7,4.57,"Sewald, Paul",663586,623149,,foul,,,,,9,Foul,R,R,R,AZ,ATL,S,,,0,2,2026,1.3,0.52,0.4389423473282003,1.5495981227697668,,,,0,9,Top,,,,,,,6.687072763002952,-119.74939256553183,-1.0515879109209474,10.867298176692511,26.35766178125684,-27.27581226071782,3.273540026,1.652066929,73,68.1,6,81.8,2554,6.2,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.26,,,,,,,,60,3,Sweeper,0,2,2,0,2,0,2,0,Standard,Standard,83,0.0,0.0,76.4,8.1,,0.0,88.0,-2,2,0.079,0.921,36,29,36,29,1,3,,,,,2.89,-1.3,-1.3,,9.28666126826496,-2.583481045207868,37.49476244052522,42.16999466155189,35.06681690065549
ST,2026-04-03,82.5,-3.53,4.72,"Sewald, Paul",663586,623149,,swinging_strike,,,,,14,Swinging Strike,R,R,R,AZ,ATL,S,,,0,1,2026,1.04,0.49,1.1082558986634257,2.3132613021485677,,,,0,9,Top,,,,,,,8.329860537278932,-119.8408635387098,0.3495704227310405,8.113478823735456,25.70911479992157,-27.79407696655809,3.273540026,1.652066929,,,,81.8,2529,6.2,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.31,,,,,,,,60,2,Sweeper,0,2,2,0,2,0,2,0,Standard,Standard,90,0.002,-0.055,34.8,6.6,,0.055,,-2,2,0.077,0.923,36,29,36,29,1,3,,,,,2.9,-1.04,-1.04,,3.797166180415653,26.705526645589263,27.48032886849097,52.45920870668887,15.38672137400997
FF,2026-04-03,89.5,-3.55,4.57,"Sewald, Paul",663586,623149,,called_strike,,,,,1,Called Strike,R,R,R,AZ,ATL,S,,,0,0,2026,-0.93,1.19,-0.4795100161113599,2.913549767276033,,,,0,9,Top,,,,,,,9.466550568732512,-130.0222390646172,-0.4286606066280971,-12.54166682084737,28.6510054256898,-18.84073683461274,3.273540026,1.652066929,,,,89.5,2436,6.5,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.04,,,,,,,,60,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,236,0.001,-0.039,,,,0.039,,-2,2,0.076,0.924,36,29,36,29,1,3,,,,,1.68,0.93,0.93,,,,,,
FF,2026-04-03,90.5,-3.72,4.41,"Sewald, Paul",621566,623149,home_run,hit_into_play,,,,,5,Matt Olson homers (2) on a fly ball to left center field.,R,L,R,AZ,ATL,X,,fly_ball,2,0,2026,-0.97,1.15,-0.2158360609555936,2.6450186631030395,,,,0,9,Top,74.24,34.06,,,,,10.701839376083296,-131.38693229174797,-0.7876424639356325,-13.515365232713211,27.08721553417982,-18.83675668750179,3.37183399,1.701673228,426,107.3,30,90.3,2513,6.2,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.26,0.937,1.904,2.0,1,0,3,6,59,3,4-Seam Fastball,0,1,1,0,2,0,2,0,Infield shade,Standard,243,-0.082,0.996,72.8,7.5,3.717,-0.996,107.3,-1,1,0.158,0.842,36,32,36,32,1,3,,,,,1.64,0.97,-0.97,,10.085963286402674,3.545412776741429,32.17949138380975,43.53293869525115,32.672535906859096
